Rank,School,State,City,Win Rate,Conference
1,Texas,Texas,Austin,64%,Big 12
2,Georgia,Georgia,Athens,89%,SEC
3,Michigan,Michigan,Ann Arbor,79%,Big Ten
4,Oklahoma,Oklahoma,Norman,79%,Big 12
5,Alabama,Alabama,Tuscaloosa,90%,SEC
6,Ohio State,Ohio ,Columbus,90%,Big Ten
7,Auburn,Alabama,Auburn,54%,SEC
8,Penn State,Pennsylvania,University Park,71%,Big Ten
9,Tennessee,Tennessee,Knoxville,57%,SEC
10,Nebraska,Nebraska,Lincoln,37%,Big Ten
11,Michigan State,Michigan ,East Lansing,52%,Big Ten
12,Florida,Florida,Gainesville,65%,SEC
13,LSU,Louisiana,Baton Rouge,71%,SEC
14,Wisconsin,Wisconsin,Madison,64%,Big Ten
15,Washington,Washington,Seattle,68%,Pac-12
16,Iowa,Iowa,Iowa City,71%,Big Ten
17,Texas A&M,Texas,College Station,64%,SEC
18,Arkansas,Arkansas,Fayetteville,37%,SEC
19,Oregon,Oregon,Eugene,75%,Pac-12
20,Florida State,Florida,Tallahassee,55%,ACC
21,Utah,Utah,Salt Lake City,72%,Pac-12
22,Minnesota,Minnesota,Minneapolis,65%,Big Ten
23,Ole Miss,Mississippi,Oxford,57%,SEC
24,Clemson,South Carolina,Clemson,84%,ACC
25,Kansas State,Kansas,Manhattan,58%,Big 12
26,Purdue,Indiana,West Lafayette,48%,Big Ten
27,South Carolina,South Carolina,Columbia,44%,SEC
28,Illinois,Illinois,Urbana–Champaign,42%,Big Ten
29,Arizona State,Arizona,Tempe,47%,Pac-12
30,Texas Tech,Texas,Lubbock,46%,Big 12
31,Indiana,Indiana,Bloomington,42%,Big Ten
32,Louisville,Kentucky,Louisville,49.30%,ACC
33,North Carolina,North Carolina,Chapel Hill,54%,ACC
34,Iowa State,Iowa,Ames,56%,Big 12
35,NC State,North Carolina,Raleigh,61%,ACC
36,Maryland,Maryland,College Park,48%,Big Ten
37,West Virginia,West Virginia,Morgantown,52%,Big 12
38,Oklahoma State,Oklahoma,Stillwater,66%,Big 12
39,Kentucky,Kentucky,Lexington,64%,SEC
40,Virginia Tech,Virginia,Blacksburg,46%,ACC
41,Colorado,Colorado,Boulder,38%,Pac-12
